plz,lat,lon,ort
78727,48.3005,8.5738,Oberndorf am Neckar
79102,48.0,7.85,Freiburg im Breisgau
79232,48.0681,7.7788,March
79291,48.0167,7.6833,Merdingen
79379,47.8082,7.6303,Müllheim
79592,47.65,7.6,Fischingen
79699,47.688,7.798,Wieslet
79821,47.91108333333333,8.21555,Stadtverwaltung / Bürgermeisteramt
80240,48.1153,11.5974,Nokia Solutions and Networks GmbH & Co. KG
80281,48.1458,11.5786,Deutsche Bundesbank Hauptverwaltung München
80314,48.1153,11.5974,Deutsche Postbank AG Niederlassung München
80524,48.1434,11.5767,Bayer. Staatsministerium des Innern
80791,48.167115384615386,11.5747,Siemens Nixdorf Informationssysteme AG
80997,48.1834,11.4784,München
81367,48.1227,11.453,Philip Morris GmbH
81627,48.1363,11.594299999999999,Bayerischer Landtag
81731,48.105,11.6394,Generali Versicherung AG
82024,48.0486,11.617,Taufkirchen
82205,48.1075,11.2936,Gilching
82291,48.2084,11.1633,Mammendorf
82389,47.7556,10.9888,Böbing
82444,47.658,11.3149,Schlehdorf
83022,47.855,12.1232,Rosenheim
83126,47.7258,12.1242,Flintsbach
83276,47.87023,12.63887,Deutsche Post AG Filialbezirksleitung Traunstein
83370,47.9667,12.4667,Seeon-Seebruck
83508,48.0571,12.1863,MEGGLE GmbH & Co. KG
83569,47.9469,12.1813,Vogtareuth
83727,47.7362,11.8594,Schliersee
84079,48.5224,11.9945,Bruckberg
84155,48.3833,12.3833,Bodenkirchen
84329,48.3533,12.786,Wurmannsquick
84431,48.24605,12.3409,Heldenstein
84552,48.3386,12.6623,Geratskirchen
85053,48.7515,11.4588,Ingolstadt
85123,48.6833,11.4167,Karlskron
85256,48.3667,11.4667,Vierkirchen
85375,48.3159,11.6632,Neufahrn bei Freising
85459,48.3841,11.9301,Berglern
85622,48.1481,11.731,Feldkirchen
85737,48.2333,11.6833,Ismaning
86141,48.3736,10.8964,Diözese Augsburg K.d.ö.R
86219,48.3819,10.888,manroland AG
86444,48.4667,10.9833,Affing
86495,48.3333,11.0833,Eurasburg
86565,48.5,11.2333,Gachenbach
86657,48.7169,10.6177,Bissingen
86698,48.6667,10.8667,Oberndorf am Lech
86754,48.9167,10.6,Munningen
86871,48.0667,10.5833,Rammingen
86935,47.9047,10.9729,Rott
87428,47.7322,10.3159,Agentur für Arbeit Kempten
87499,47.7667,10.4,Wildpoldsried
87654,47.8748,10.5346,Friesenried
87734,47.9667,10.2167,Benningen
87770,48.1085,10.2985,Oberschönegg
88086,47.665,9.359,Immenstaad am Bodensee
88237,47.689375,9.829699999999999,Diehl AKO Stiftung & Co. KG
88336,47.9307,9.759,Versandhaus Walz GmbH
88433,48.1702,9.7943,Schemmerhofen
88499,48.1779,9.480266666666667,Emeringen
88696,47.8097,9.1717,Owingen
89168,48.5413,10.2351,Niederstotzingen
89257,48.2234,10.1035,Illertissen
89350,48.4667,10.4286,Dürrlauingen
89437,48.5998,10.374,Haunsheim
89582,48.282199999999996,9.7198,Donau-Iller Bank eG
90313,49.4642,11.1186,AachenMünchener Versicherung AG
90346,49.4546,11.1187,Nürnberger Krankenversicherung AG
90453,49.3834,11.0416,Nürnberg
90552,49.483,11.2412,Röthenbach an der Pegnitz
90754,49.4699,11.0181,Quelle Shop
91093,49.6273,10.91,Heßdorf
91224,49.5044,11.511,Pommelsbrunn
91301,49.7175,11.0588,Forchheim
91362,49.7545,11.1743,Pretzfeld
91478,49.5909,10.3556,Markt Nordheim
91589,49.25,10.4167,Aurach
91625,49.1705,10.2321,Schnelldorf
91735,49.1545,10.7184,Muhr am See
91804,48.8701,11.0076,Mörnsheim
92271,49.6213,11.9082,Freihung
92361,49.25,11.4,Berngau
92536,49.49837142857143,12.206371428571428,Pfreimd
92637,49.68355,12.191749999999999,Weiden
92714,49.6491,12.4063,Pleystein
93053,48.9965,12.1202,Regensburg
93105,49.0239,12.173,Tegernheim
93188,49.0723,11.957,Pielenhofen
93358,48.7333,11.8333,Train
93483,49.2333,12.55,Pösing
94094,48.3595,13.197,Rotthalmünster
94152,48.4609,13.4208,Neuhaus am Inn
94256,49.1076,13.0118,Drachselsried
94353,49.0241,12.7155,Haibach
94437,48.6517,12.6078,Mamming
94538,48.7167,13.3333,Fürstenstein
94574,48.6842,12.8804,Wallerfing
95180,50.3747,11.7785,Berg
95349,50.0254,11.3935,Thurnau
95478,49.8701,11.8908,Kemnath
95614,50.0068875,12.0891875,ABM Greiffenberger Antriebstechnik GmbH
95700,49.9333,11.9667,Neusorg
96117,49.9301,10.9592,Memmelsdorf
96167,49.946,11.1652,Königsfeld
96223,50.1407,11.2469,Baur Kaufhaus GmbH
96346,50.2685,11.4706,Wallenfels
96484,50.3212,10.907,Meeder
97199,49.6643,10.0623,Ochsenfurt
97255,49.582750000000004,10.01135,Sonderhofen
97291,49.8783,9.8492,Thüngersheim
97421,50.0442,10.2267,Schweinfurt
97500,49.9857,10.6744,Ebelsbach
97537,49.9167,10.1667,Wipfeld
97717,50.148266666666665,10.021666666666667,Euerdorf
97791,50.2088,9.6155,Obersinn
97854,49.9528,9.6694,Steinfeld
97990,49.4787,9.8998,Weikersheim
98617,50.535738888888886,10.422616666666666,Stepfershausen
98746,50.563,11.05905,Goldisthal
99102,50.909099999999995,11.095400000000001,Rockhausen
99437,50.89,11.2661,Zentralklinik Bad Berka GmbH
99759,51.408924999999996,10.58815,Rehungen
